ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KC488PO24N000011","행사","행사","미추홀미디어문화축제","인천광역시","미추홀구","2817710700","문학동","2817771000","문학동","281773008014","인천광역시 미추홀구 매소홀로 618","22234","다사275409","126.6806038","37.46498257","문학경기장 동문광장","2025-09-27","2025-09-28","미추홀의 특색있는 문화자원과 미디어 분야의 융합 콘텐츠를 만날 수 있는 축제 프로그램","인천광역시 미추홀구청","인천광역시 미추홀구청",,"032-880-7978","https://www.michuhol.go.kr/culture/main.do",,"2025-02-10","3510500","인천광역시 미추홀구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000012","행사","행사","인천원도사제낙섬축제","인천광역시","미추홀구","2817710200","용현동","2817757000","용현5동","281773149061","인천광역시 미추홀구 매소홀로 143","22189","다사239388","126.6399942","37.445563","용현5동 윤성아파트 건너편 임시도로","2025-10-25","2025-10-25","원도사제 제례 재현+화합의 길놀이+대동 한마당 축하공연+먹거리 마당+시민 이벤트+전통놀이+주민노래자랑 등","미추홀학산문화원+용현5동 주민자치회","인천광역시 미추홀구청+낙섬축제추진위원회",,"032-866-3994","https://haksanculture.or.kr/board/view.php?code=notice&cat=&page=1&sq=1627&s_fld=&s_txt=6",,"2025-02-10","3510500","인천광역시 미추홀구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000013","행사","행사","만드리풍년제","광주광역시","서구","2914012600","세하동","2914080000","서창동","291403009013","광주광역시 서구 눌재로 408","62076","다라389800","126.8303549","35.11304585","송학초등학교 운동장","2024-08-29","2024-08-29","공식행사+들노래재현+문화예술공연+전통문화체험부스","광주광역시 서구청","만드리보존회",,"062-350-4988","seogu.gwangju.kr",,"2025-03-04","3600000","광주광역시 서구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000014","행사","행사","광주서창억새축제","광주광역시","서구","2914012900","벽진동","2914080000","서창동","291404280242","광주광역시 서구 서창둑길 377","62076","다라388827","126.8287574","35.13849306","영산강(극락교~서창교 3.5km)일원","2024-10-17","2024-10-20","공식행사+걷기행사+생태환경콘서트+억새생태포토존+체험행사 등","광주광역시 서구청","광주광역시 서구청","문화체육관광부+광주광역시청+광주환경공단","062-350-4792","seogu.gwangju.kr",,"2025-03-04","3600000","광주광역시 서구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000015","행사","행사","양동통맥축제","광주광역시","서구","2914010400","양동","2914057500","양동","291403009007","광주광역시 서구 천변좌로 238","61924","다라455844","126.9022641","35.1535761","양동전통시장","2024-04-07","2024-04-29","공식행사+프리마켓+문화공연+양동야시장","광주광역시 서구청","양동전통시장+중소벤처기업부+소상공인시장진흥공단+광주광역시+광주경제고용진흥원+좋은피알착한기업","광주광역시서구의회+코레일+광주관광재단+광주전남지역혁신플랫폼+한국농수산식품유통공사+맘스팡","062-945-5670","seogu.gwangju.kr",,"2025-03-04","3600000","광주광역시 서구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000016","행사","행사","제5회 강릉 비치비어페스티벌","강원특별자치도","강릉시","5115013800","안현동","5115066500","경포동","421503220043","강원특별자치도 강릉시 창해로 514","25460","마사238793","128.9074362","37.8057954","경포해변 중앙광장","2025-06-27","2025-06-29","전국 브루어리 맥주+로컬푸드+플로깅+비어도슨트+플리마켓+라이브공연+디제잉파티","강릉비치비어페스티벌추진위원회","강원특별자치도 강릉시청",,"033-640-5130",,,"2025-03-04","4201000","강원특별자치도 강릉시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000017","행사","행사","2025 경포 벚꽃 잔치","강원특별자치도","강릉시","5115013800","안현동","5115066500","경포동","421503220043","강원특별자치도 강릉시 창해로 514","25460","마사238793","128.9074362","37.8057954","경포대 및 경포호 일원","2025-03-28","2025-04-02","바다와 호수, 흩날리는 벚꽃 감상+시화전시+민속놀이 체험+공예체험+다도,약선차 시음 및 허브향기 치료법 체험+벚꽃운동회+벚꽃버스킹","강원특별자치도 강릉시청","강원특별자치도 강릉시청",,"033-640-5130",,,"2025-03-04","4201000","강원특별자치도 강릉시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000018","행사","행사","2025 경포 썸머 페스티벌","강원특별자치도","강릉시","5115013700","저동","5115066500","경포동","421503220002","강원특별자치도 강릉시 경포로 365","25461","마사229782","128.8965357","37.7955713","경포해변 일원","2025-07-29","2025-08-04","무더운 여름에 시원한 경포 해변에서 열리는 야외 축제","강원특별자치도 강릉시청","강원특별자치도 강릉시청",,"033-640-5130",,,"2025-03-04","4201000","강원특별자치도 강릉시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000019","행사","행사","이주민 문화다양성 축제(MAMF)","경상남도","창원시 의창구","4812112900","팔용동","4812152000","팔룡동","481214781308","경상남도 창원시 의창구 사화로18번길 30","51376","마라007960","128.6076703","35.2548376","용지문화공원","2024-10-11","2024-10-13","다문화 퍼레이드, 아시아팝뮤직페스티벌 등","MAMF추진위원회","경남이주민노동복지센터",,,,,"2025-02-14","5670000","경상남도 창원시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000020","행사","행사","제14회 미르어울림축제","경상남도","창원시 의창구","4812112900","팔용동","4812152000","팔룡동","481213327025","경상남도 창원시 의창구 사화로 126","51389","마라018956","128.6190503","35.2513005","팔룡어울림운동장","2024-10-18","2024-10-18","개막식+문화예술공연","팔룡동축제위원회","경상남도 창원시",,,,,"2025-02-14","5670000","경상남도 창원시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000021","행사","행사","마곡사 신록축제","충청남도","공주시","4415039029","사곡면 운암리","4415039000","사곡면","441503251011","충청남도 공주시 사곡면 마곡사로 966 마곡사","32520","다바563402","127.011603","36.55740589","사곡면 운암리 마곡사일원","2022-05-07","2022-05-08","전시 운영+백범명상길 걷기+마곡사 보물찾기 등","마곡사신록축제추진위원회","공주시",,"041-840-2056",,,"2022-11-21","4500000","충청남도 공주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000022","행사","행사","제68회 백제문화제","충청남도","공주시","4415012000","신관동","4415057000","신관동","441503251008","충청남도 공주시 신관동 553","32573","다바669299","127.1204236","36.47835102","금강신관공원","2022-10-01","2022-10-10","웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매","백제문화선양위원회","백제문화제추진위원회",,"041-840-8112","https://www.baekje.org/kor/",,"2022-11-21","4500000","충청남도 공주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000023","행사","행사","제5회 겨울공주 군밤축제","충청남도","공주시","4415011000","금학동","4415055000","금학동",,,"32602","다바663262","127.124038","36.43336915","온라인","2022-01-29","2022-02-20","알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등","겨울공주 군밤축제추진위원회","공주시",,"041-840-2056",,,"2022-11-21","4500000","충청남도 공주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000024","행사","행사","제1회 유구색동수국정원 꽃축제","충청남도","공주시","4415025024","유구읍 유구리","4415025000","유구읍",,,,"다바511398","126.9543952","36.5555033","유구색동수국정원","2022-06-17","2022-06-19","공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등","공주시","공주시",,"041-840-8111",,,"2022-11-21","4500000","충청남도 공주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000025","행사","행사","제10회 느티마을 한마당 축제","서울특별시","광진구","1121510700","화양동","1121571000","화양동","112153104005","서울특별시 광진구 군자로 9(화양동)","05011","다사621495","127.0710961","37.5443844","화양동 느티나무 공원 및 구 화양초등학교 운동장","2023-09-23","2023-09-23","느티나무 기원제+ 주민화합한마당+ 화양 힐링 한마당+ 주민자치프로그램 발표 등","화양동 문화행사위원회","화양동 문화행사위원회","서울특별시 광진구","02-450-1845",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000026","행사","행사","광진구민과 함께하는 숲나루 콘서트","서울특별시","광진구","1121510300","구의동","1121586000","구의2동",,,,"다사644498","127.0973696","37.5474355","광진 숲나루","2023-09-23","2023-09-23","광진윈드오케스트라공연","서울특별시 광진구","서울특별시 광진구",,"02-450-7597",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000027","행사","행사","2023 광진가족영화제","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","어린이대공원 구의문 잔디광장","2023-09-24","2023-09-24","버스킹공연+ 캐리커처+ 타투스티커+ 영화상영","서울특별시 광진구","서울특별시 광진구",,"02-450-7597",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000028","행사","행사","제9회 긴고랑 한마음 축제","서울특별시","광진구","1121510100","중곡동","1121577000","중곡4동","112153104006","서울특별시 광진구 긴고랑로 143 긴고랑어린이공원","04944","다사638511","127.0910177","37.5588841","긴고랑체육공원","2023-10-05","2023-10-05","자치회관 프로그램 발표+ 주민 노래자랑+ 먹거리장터+ 체험 부스 운영 등","중곡4동 문화행사위원회","중곡4동 문화행사위원회","서울특별시 광진구","02-450-1072",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000029","행사","행사","광진구민과 함께하는 심포니 콘서트","서울특별시","광진구","1121510500","자양동","1121584000","자양3동","112153104007","서울특별시 광진구 능동로 76","05065","다사620487","127.0705582","37.5375773","나루아트센터 대공연장","2023-10-07","2023-10-07","광진심포니오케스트라공연","서울특별시 광진구","서울특별시 광진구",,"02-450-7597",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000030","행사","행사","제7회 구삼축제 한마당","서울특별시","광진구","1121510300","구의동","1121587000","구의3동","112154112040","서울특별시 광진구 광나루로56길 86","05118","다사641486","127.0950652","37.5367945","구의공원","2023-10-13","2023-10-13","시니어패션쇼+ 자치회관 프로그램 발표+ 주민 노래자랑+ 체험 부스 운영 등","구의3동 문화행사위원회","구의3동 문화행사위원회","서울특별시 광진구","02-450-1242",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000031","행사","행사","제2회 숲나루 꿈의 축제","서울특별시","광진구","1121510300","구의동","1121586000","구의2동",,,,"다사644498","127.0973696","37.5474355","광진숲나루","2023-10-14","2023-10-14","주민노래자랑+ 초대가수 공연+ 저글링 등 공연","구의2동 문화행사위원회","구의2동 문화행사위원회","서울특별시 광진구","02-450-1222",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000032","행사","행사","자양4동 주민 소통한마당 축제","서울특별시","광진구","1121510500","자양동","1121584700","자양4동","112154112413","서울특별시 광진구 자양강변길 73","05087","다사614483","127.0638237","37.5332081","신양중학교 운동장","2023-10-14","2023-10-14","단체게임+ 노래자랑+ 초청공연","자양4동 문화행사위원회","자양4동 문화행사위원회","서울특별시 광진구","02-450-1824",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000033","행사","행사","주민과 함께하는 제3회 이랴이랴 자신만만 축제","서울특별시","광진구","1121510500","자양동","1121582000","자양1동","112154112416","서울특별시 광진구 자양로13길 41","05058","다사630484","127.0821864","37.5341992","자마장공원","2023-10-21","2023-10-21","초대가수 축하 공연","자양1동 문화행사위원회","자양1동 문화행사위원회","서울특별시 광진구","02-450-1282",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000034","행사","행사","제7회 자양뚝방길 가을음악회","서울특별시","광진구","1121510500","자양동","1121583000","자양2동","112154112446","서울특별시 광진구 자양로3길 7","05104","다사634479","127.0862864","37.5301583","광양중학교 강당","2023-10-21","2023-10-21","태권도시범단공연+ 주민노래자랑+ 초대가수 공연","자양2동 문화행사위원회","자양2동 문화행사위원회","서울특별시 광진구","02-450-1602",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000035","행사","행사","2023 행복나눔 구일 마을문화 축제","서울특별시","광진구","1121510300","구의동","1121585000","구의1동","112154112027","서울특별시 광진구 광나루로36길 56","05038","다사633493","127.0856833","37.5424889","구의1동 주민센터 대강당","2023-10-26","2023-10-26","동대부여고 동아리(합창+ 댄스) 발표+ 어린이 태권도 시범실버합창단 및 초대가수 공연+ 자치회관 발표","구의1동 문화행사위원회","구의1동 문화행사위원회","서울특별시 광진구","02-450-5142",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000036","행사","행사","2023 제6회 능동 감마을 축제","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 238","04991","다사626503","127.077178","37.5513161","어린이대공원 서문일대","2023-10-27","2023-10-27","감따기+ 감 껍질 길게 깎기+ 초청가수 공연","능동 문화행사위원회","능동 문화행사위원회","서울특별시 광진구","02-450-1122",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000037","행사","행사","광장동 주민한마당 광나루 해오름축제","서울특별시","광진구","1121510300","구의동","1121586000","구의2동",,,,"다사644498","127.0973696","37.5474355","광진숲나루","2023-10-28","2023-10-28","어린이공연+ 축하공연(팝페라가수+ K-POP댄스+ 전자현악기)","광장동 문화행사위원회","광장동 문화행사위원회","서울특별시 광진구","02-450-1263",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000038","행사","행사","2024 아차산 해맞이 축제","서울특별시","광진구","1121510400","광장동","1121581000","광장동","112153104009","서울특별시 광진구 워커힐로 127","04965","다사647503","127.101243","37.5518982","아차산 어울림 광장","2024-01-01","2024-01-01","새해덕담+ 타북공연+ 팝페라공연+ 일출감상","서울특별시 광진구","서울특별시 광진구",,"02-450-7596",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000039","행사","행사","제6회 명품한강 장미축제","서울특별시","광진구","1121510500","자양동","1121584000","자양3동","112154112480","서울특별시 광진구 자양번영로3길 66(자양동)","05091","다사621482","127.0716919","37.5328377","자양3동 현대6차~8차 아파트사이","2024-05-18","2024-05-18","장미를 테마로 한 자양3동 주민이 화합하여 만드는 마을축제","자양3동 문화행사위원회","자양3동문화행사위원회","서울특별시 광진구","02-450-1803",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000040","행사","행사","2024 광진가족페스티벌","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","어린이대공원 구의문 잔디광장","2024-05-25","2024-05-25","구민의날 기념식+가족백일장 및 그림그리기 대회+가족영화제+공연(청소년합창단, 마술공연 등)+부대행사(캐리커처+캘리그라피+포토부스 등)","서울특별시 광진구","서울특별시 광진구",,"02-450-7596",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000041","행사","행사","2024 제1회 광진가족 영화제","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","어린이대공원 구의문 잔디광장","2024-05-25","2024-05-25","버스킹공연+ 캐리커처+ 타투스티커+ 영화상영","서울특별시 광진구","서울특별시 광진구",,"02-450-7623",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000042","행사","행사","2024 제2회 광진가족 영화제","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","어린이대공원 구의문 잔디광장","2024-09-07","2024-09-07","버스킹공연+ 캐리커처+ 타투스티커+ 영화상영","서울특별시 광진구","서울특별시 광진구",,"02-450-7623",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000043","행사","행사","2024 전주독서대전","전북특별자치도","전주시 덕진구","5211310500","덕진동1가","5211357000","덕진동","451112266003","전북특별자치도 전주시 덕진구 기린대로 451","54894","다마660582","127.1238031","35.8203217","전주종합경기장","2024-10-11","2024-10-13","책 읽는 도시 글 쓰는 전주의 대한민국 최대 규모 책 축제","전북특별자치도 전주시 도서관산업과","전북특별자치도 전주시","한국출판문화산업진흥원+(사)전주시서점조합+(사)한국잡지협회","063-230-1858","http://jjbook.kr/","전주독서대전+한옥마을+객사+덕진공원+전주페스타 2024","2024-11-19","4641000","전북특별자치도 전주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000044","행사","행사","2024 전주조선팝페스티벌","전북특별자치도","전주시 덕진구","5211310500","덕진동1가","5211357000","덕진동","451113266077","전북특별자치도 전주시 덕진구 기린대로 451","54894","다마684569","127.1511138","35.80846206","전주종합경기장","2024-10-18","2024-10-20","전통 가락에 대중음악을 접목한 조선팝을 소재로 펼쳐지는 페스티벌","전북특별자치도 전주시(청)","전북특별자치도 전주시(청)",,"063-281-2662",,"전주조선팝페스티벌+한옥마을+객사+덕진공원+전주페스타 2024","2024-11-19","4641000","전북특별자치도 전주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000045","행사","행사","전주페스타 2024","전북특별자치도","전주시 덕진구","5211310500","덕진동1가","5211357000","덕진동","451132266001","전북특별자치도 전주시 덕진구 기린대로 451","54894","다마660600","127.127127","35.84075454","전주종합경기장","2024-10-03","2024-10-26","관광거점도시 전주의 맛, 멋, 흥을 담은 10월의 전주 대표 통합축제","전북특별자치도 전주시(청)","전북특별자치도 전주시(청)",,"063-281-5059","http://www.jeonjufesta.com","전주페스타 2024+한옥마을+객사+전주종합경기장","2024-11-19","4641000","전북특별자치도 전주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000046","행사","행사","2024 전주비빔밥축제","전북특별자치도","전주시 덕진구","5211310500","덕진동1가","5211357000","덕진동","451132266001","전북특별자치도 전주시 덕진구 기린대로 451","54894","다마660600","127.1242659","35.8366636","전주종합경기장","2024-10-03","2024-10-06","시민화합의 장을 마련하고, 음식관광 상품화로 지역경제 활성화를 도모하는 유네스코 음식창의도시 전주 대표 음식축제","(사)문화상상온","전북특별자치도 전주시(청)","전북특별자치도+문화체육관광부","063-281-2382","https://bibimbabfestival.com","전주비빔밥축제+전주페스타 2024+한옥마을+객사+전주종합경기장","2024-11-19","4641000","전북특별자치도 전주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000047","행사","행사","2024 전주막걸리축제","전북특별자치도","전주시 덕진구","5211310500","덕진동1가","5211357000","덕진동","451132266001","전북특별자치도 전주시 덕진구 기린대로 451","54894","다마660600","127.1242659","35.8366636","전주종합경기장","2024-10-25","2024-10-26","전주막걸리를 주제로, 막걸리 문화를 널리 알리고, 전주 막걸리 업소 참여로 건강한 전통주와 맛있는 안주가 가득한 음식축제","전북특별자치도 전주시(청)","전북특별자치도 전주시(청)",,"063-281-2826",,"전주막걸리축제+전주페스타 2024+한옥마을+객사+전주종합경기장","2024-11-19","4641000","전북특별자치도 전주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000048","행사","행사","2024 전주단오","전북특별자치도","전주시 덕진구","5211310500","덕진동1가","5211357000","덕진동","451133266013","전북특별자치도 전주시 덕진구 권삼득로 390-1","54895","다마659614","127.1210312","35.84749476","전주 덕진공원","2024-06-08","2024-06-10","우리나라 5대 명절 중 하나로 시민의 안녕과 풍년을 기원한는 전통 행사","전북특별자치도 전주시(청)","전북특별자치도 전주시(청)",,"063-281-2682",,"전주단오+덕진공원+한옥마을+객사","2024-11-19","4641000","전북특별자치도 전주시","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
