기관명,주소,시작일,종료일,홈페이지 주소,담당기관,전화번호호
2025년 섬 수선화축제,전라남도 신안군 지도읍 선도길 72-26,2025-03-28,2025-04-06,https://tour.shinan.go.kr/,축제추진위원회,061-240-5410
고령대가야축제,경상북도 고령군 대가야읍 대가야로 1216,2025-03-28,2025-03-30,https://www.festdgy.com/,(사)고령군관광협의회,054-950-6427
궁거랑 벚꽃 한마당,울산광역시 남구 삼호로 15,2025-03-29,2025-03-30,https://www.ulsannamgu.go.kr/tour/board/tourFestival2/152798/view.do,울산제일일보+삼호동단체장협의회,052-226-5412
물금벚꽃축제,경상남도 양산시 중앙로 39-1,2025-03-29,2025-03-30,https://yangsanfes.com/,물금벚꽃축제추진위원회,055-392-2548
영암왕인문화축제,전라남도 영암군 군서면 왕인로 440,2025-03-29,2025-04-06,http://영암왕인문화축제.kr,영암문화관광재단+영암군향토축제추진위원회,061-470-2346
진도신비의바닷길축제,전라남도 진도군 고군면 신비의바닷길 74,2025-03-29,2025-04-01,https://www.jindo.go.kr/tour/sub.cs?m=99,진도군축제추진위원회,061-540-3408
겸재책거리축제,서울특별시 중랑구 중랑천로 8 인근,2025-04-01,2025-04-01,https://www.jungnang.go.kr/portal/main.do,서울특별시 중랑구청,02-2094-1834
2025 섬 튤립축제,전라남도 신안군 임자면 대광해수욕장길 179,2025-04-04,2025-04-13,https://tour.shinan.go.kr/,축제추진위원회,061-240-4048
이천체험문화축제,경기도 이천시 신둔면 도자예술로5번길 109,2025-04-05,2025-04-06,http://www.2000green.com,(사)이천농촌나드리,031-636-2723
제29회 비슬산 참꽃 문화제,대구광역시 달성군 논공읍 달성군청로 33,2025-04-12,2025-04-13,https://www.dalseong.daegu.kr/,대구광역시 달성군,053-668-2000
어천절 대제전,서울특별시 종로구 인왕산로 22,2025-04-12,2025-04-12,http://blog.naver.com/lgb301,(사)현정회,02-2148-1807
4.19혁명 국민문화제,서울특별시 강북구 도봉로89길 13,2025-04-12,2025-04-19,www.festival419.org/,4.19혁명 국민문화제위원회,02-901-6206
나비대축제,전라남도 함평군 함평읍 곤재로 27,2025-04-25,2025-05-06,https://www.hpftf.or.kr/contentsView.do?pageId=www88,전라남도 함평군+함평축제관광재단,061-320-2245
함평나비대축제,전라남도 함평군 함평읍 곤재로 27,2025-04-25,2025-05-06,https://www.hpftf.or.kr/,(재)함평축제관광재단,061-320-2238
이천도자기축제,경기도 이천시 신둔면 도자예술로5번길 109,2025-04-25,2025-05-06,http://www.ceramic.or.kr,이천문화재단+이천시도자기축제추진위원회,031-635-3682
놀러와 대학로 차 없는 거리 축제,"서울특별시 종로구 종로1길 36, 8층 문화과",2025-04-26,2025-09-27,www.jongno.go.kr,서울특별시 종로구,02-2148-1812
신안 세계 김밥페스타,전라남도 신안군 자은면 자은서부2길 508-65,2025-04-26,2025-04-27,https://tour.shinan.go.kr/,축제추진위원회,061-240-4132
100+4 피아노섬 축제,전라남도 신안군 자은면 자은서부2길 508-65,2025-04-26,2025-04-27,https://tour.shinan.go.kr/,축제추진위원회,061-240-8353
선사문화체험축제,대구광역시 달서구 학산로 45,2025-04-26,2025-04-27,https://www.dalseo.daegu.kr/,대구광역시 달서구,053-667-2000
형형색색 달구벌 관등놀이,대구광역시 중구 공평로 88,2025-04-27,2025-04-27,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
보성다향대축제,전라남도 보성군 보성읍 녹차로 775,2025-05-02,2025-05-06,https://www.boseong.go.kr/tour/festivity/tea_aroma,보성다향제녹차대축제추진회,061-850-5211
연천 구석기축제,경기도 연천군 전곡읍 양연로 1510,2025-05-02,2025-05-05,https://www.yeoncheon.go.kr/festival/,연천구석기축제추진위원회,070-8806-5511
제23회 파주출판도시 어린이책잔치,경기도 파주시 회동길 145,2025-05-03,2025-05-05,https://www.pajubfc.org/,(재)출판도시문화재단,031-940-4723
익산서동축제,전북특별자치도 익산시 금마면 고도9길 41-14,2025-05-03,2025-05-06,https://seodong.iksan.go.kr/,(재)익산문화관광재단,063-859-5826
진주논개제,경상남도 진주시 남강로 626,2025-05-03,2025-05-06,http://jjcc.or.kr/,진주논개제 제전위원회,055-795-3214
울산옹기축제,울산광역시 울주군 온양읍 외고산3길 36,2025-05-03,2025-05-05,https://www.onggi.or.kr/,울주문화재단,052-204-0355
오감만족+ 어린이날 큰 잔치,대구광역시 서구 당산로 403,2025-05-05,2025-05-05,http://www.dgs.go.kr/tour/,대구광역시 서구청,053-663-2544
제47회 대구약령시한방문화축제,대구광역시 중구 공평로 88,2025-05-08,2025-05-11,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
옥도 작약 꽃 축제,전라남도 신안군 하의면 옥도길 58,2025-05-09,2025-05-17,https://tour.shinan.go.kr/,축제추진위원회,061-240-8686
제36회 동성로축제,대구광역시 중구 국채보상로139길 1(동인동2가),2025-05-09,2025-05-11,https://www.jung.daegu.kr/new/pages/main/,대구광역시 중구,053-661-2000
제5회 떡볶이 페스티벌,대구광역시 북구 옥산로 65,2025-05-09,2025-05-11,https://www.buk.daegu.kr/,대구광역시 북구,053-665-2000
장미꽃 필 무렵,대구광역시 달서구 학산로 45,2025-05-09,2025-05-11,https://www.dalseo.daegu.kr/,대구광역시 달서구,053-667-2000
광안리어방축제,부산광역시 수영구 남천동로100,2025-05-09,2025-05-11,www.suyeong.go.kr/eobang,부산광역시 수영구청,051-610-4062
울산쇠부리축제,울산광역시 북구 달천철장길 58,2025-05-09,2025-05-11,http://www.soeburi.org/,울산쇠부리축제위원회,052-293-3500
황룡강 (洪)길동무 꽃길 축제,전라남도 장성군 장성읍 황룡강동쪽자전거길 732,2025-05-10,2025-05-09,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_02,전라남도 장성군축제위원회,061-390-7252
제11회 무안황토갯벌축제,전라남도 무안군 해제면 황토갯벌길 110,2025-05-10,2025-05-25,http://tour.muan.go.kr/,전라남도 무안군축제추진위원회,061-450-5472
2025 D.FESTA 대학로 거리공연축제,"서울특별시 종로구 동숭4길 14, 2층",2025-05-10,2025-05-11,https://smalltheater.or.kr/,(사)한국소극장협회,02-3674-0472
대구생활문화제,대구광역시 중구 공평로 88,2025-05-10,2025-05-11,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
강남아트X2025 서울아트쇼,서울특별시 강남구 영동대로 513 등,2025-05-10,2025-12-26,https://visitgangnam.net/cultural-events/end/2023gangnamart/,서울특별시 강남구청,02-3423-5545
파워풀대구페스티벌,대구광역시 중구 공평로 88,2025-05-10,2025-05-11,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
2025 yes 키즈존,대구광역시 달성군 논공읍 달성군청로 33,2025-05-10,2025-05-11,https://www.dalseong.daegu.kr/,대구광역시 달성군,053-668-2001
중랑 서울장미축제,서울특별시 중랑구 중랑천로 332,2025-05-16,2025-05-24,https://www.jnfac.or.kr/rose/index,중랑문화재단,02-3407-6531
2025 한국유교문화축전,충청남도 논산시 노성면 종학길 10,2025-05-16,2025-05-18,https://www.ikcc.or.kr/ko/index,한국유교문화진흥원,041-980-3500
곡성세계장미축제,전라남도 곡성군 오곡면 기차마을로 232,2025-05-16,2025-05-25,www.gokseong.go.kr,전라남도 곡성군청,061-360-8471
곡성세계장미축제,전라남도 곡성군 오곡면 기차마을로 232,2025-05-16,2025-05-25,www.gokseong.go.kr,전라남도 곡성군청,061-360-8471
라벤더 축제,전라남도 신안군 안좌면 소곡두리길 257-35,2025-05-16,2025-05-25,https://tour.shinan.go.kr/,축제추진위원회,061-240-8129
태화강 국가정원 봄꽃축제,울산광역시 중구 샛강남길 5,2025-05-16,2025-05-18,https://www.ulsan.go.kr/s/garden/main.ulsan,울산광역시,052-229-7561
신안 샴막 예술 축제,전라남도 신안군 비금면 비금북부길 573-1,2025-05-17,2025-05-18,https://tour.shinan.go.kr/,축제추진위원회,061-240-8679
제16회 화성시 가족사랑축제,경기도 화성시 동탄순환대로 69,2025-05-17,2025-05-17,https://www.hcf.or.kr,화성시문화관광재단,031-290-7678
제30회 대덕제 「대구앞산축제」,대구광역시 남구 이천로 51,2025-05-17,2025-05-18,https://www.nam.daegu.kr/,대구광역시 남구,053-664-2000
음성품바축제,충청북도 음성군 음성읍 설성공원길 28,2025-05-21,2025-05-25,https://pumba.kr/,음성품바축제 기획실무위원회,043-873-2241
밀양 아리랑대축제,경상남도 밀양시 중앙로 324,2025-05-22,2025-05-25,http://www.arirang.or.kr/,(재)밀양문화관광재단,055-359-4500
버들마편초 축제,전라남도 신안군 안좌면 소곡두리길 257-35,2025-05-23,2025-05-25,https://tour.shinan.go.kr/,축제추진위원회,061-240-8129
상화문학제,대구광역시 수성구 들안로16길 78,2025-05-23,2025-05-25,http://www.suseong.or.kr,수성문화원,053-768-0002
유니마총회 및 세계인형극축제,강원특별자치도 춘천시 영서로 3017,2025-05-23,2025-06-01,www.cocobau.com,(재)춘천인형극제,033-242-8452
영도커피페스티벌,부산광역시 영도구 해양로 301번길 55,2025-05-23,2025-05-25,https://www.yeongdo.go.kr/yd_coffee_festival.web,"부산광역시 영도구청, (사)한국커피협회",051-419-4475
제37회 고양행주문화제,경기도 고양시 덕양구 행주로 15번길 89,2025-05-23,2025-05-25,http://www.hjfestival.or.kr,고양문화재단,031-960-9684
섬 깡다리축제,전라남도 신안군 임자면 대광해수욕장길 179,2025-05-25,2025-05-26,https://tour.shinan.go.kr/,축제추진위원회,061-240-8410
2025년 돈나무꽃 축제,전라남도 신안군 압해읍 무지개길 330,2025-05-25,2025-05-26,https://tour.shinan.go.kr/,축제추진위원회,061-240-3524
춘천마임축제,강원특별자치도 춘천시 춘천로 112,2025-05-25,2025-06-01,mimefestival.com,(사) 춘천마임축제,033-242-0585
강릉단오제 본행사,강원특별자치도 강릉시 단오장길 1 (노암동),2025-05-27,2025-06-03,https://www.danojefestival.or.kr/,(사)강릉단오제위원회+(사)강릉단오제보존회,033-641-1593
제15회 화성 뱃놀이 축제,경기도 화성시 서신면 전곡항로 21,2025-05-30,2025-06-01,http://hs-boatingfestival.com/,화성시문화관광재단,031-5189-6136
태화강 마두희 축제,울산광역시 중구 문화의거리 38,2025-05-30,2025-06-01,http://ulsanmaduhee.co.kr/pages/index.html,태화강마두희축제추진위원회,052-244-2008
울산마두희축제,울산광역시 중구 새즈믄해거리 37,2025-05-30,2025-06-01,http://www.ulsanmaduhee.co.kr,울산마두희축제 추진위원회,052-244-2008
화성 뱃놀이 축제,경기도 화성시 서신면 전곡항로 5,2025-05-30,2025-06-01,https://hs-boatingfestival.com/,화성시문화재단,031-290-4689
섬 병어축제,전라남도 신안군 지도읍 해제지도로 1283-24,2025-06-07,2025-06-08,https://tour.shinan.go.kr/,축제추진위원회,061-240-8410
제12회 춘천영화제,"강원특별자치도 춘천시 금강로 70, 4층",2025-06-19,2025-06-22,http://www.ccff.or.kr,(사)춘천영화제,033-251-3370
제19회 대구국제뮤지컬페스티벌,대구광역시 중구 공평로 88,2025-06-20,2025-07-07,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
제28회 무안연꽃축제,전라남도 무안군 일로읍 백련로 333,2025-06-26,2025-06-29,http://tour.muan.go.kr/,전라남도 무안군축제추진위원회,061-450-5472
2025 춘천연극제,강원특별자치도 춘천시 서부대성로 71,2025-06-27,2025-10-25,http://citf.or.kr/,(사)춘천연극제,033-241-4345
대구치맥페스티벌,대구광역시 달서구 공원순환로 36,2025-07-02,2025-07-06,http://www.chimacfestival.com/,대구치맥페스티벌 조직위원회,053-248-9998
대구치맥페스티벌,대구광역시 중구 공평로 88,2025-07-02,2025-07-06,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
2025년 섬 크로코스미아꽃 축제,전라남도 신안군 압해읍 무지개길 330,2025-07-04,2025-07-13,https://tour.shinan.go.kr/,축제추진위원회,061-240-5445
섬 홍도 원추리꽃 축제,전라남도 신안군 흑산면 홍도1길 21-5,2025-07-04,2025-07-13,https://tour.shinan.go.kr/,축제추진위원회,061-240-4061
119안전문화축제,울산광역시 울주군 삼남읍 울산역로255,2025-07-04,2025-07-05,http://fire.ulsan.go.kr/,울산광역시,052-229-5331
도째비페스타,강원특별자치도 동해시 일출로22,2025-07-18,2025-07-20,http://dhfesta.or.kr/dmdf/,동해문화관광재단,033-530-2412
보령머드축제,충청남도 보령시 해수욕장10길 5,2025-07-25,2025-08-10,http://www.mudfestival.or.kr,(재)보령축제관광재단,041-930-0891
정남진 장흥 물축제,전라남도 장흥군 장흥읍 우드랜드길 180,2025-07-26,2025-08-03,https://www.jangheung.go.kr/festival,장흥 물축제 추진위원회,061-860-5771
현인가요제,부산광역시 서구 송도해변로 100,2025-08-02,2025-08-03,http://culture.bsseogu.go.kr,(사)한국연예예술인협회,02-2655-3157
섬 민어축제,전라남도 신안군 임자면 대광해수욕장길 179,2025-08-02,2025-08-03,https://tour.shinan.go.kr/,축제추진위원회,061-240-8410
진주 M2(뮤직&미디어)페스티벌,경상남도 진주시 강남로 320 아래 둔치,2025-08-08,2025-08-09,http://www.jinjumusic.com/,진주문화관광재단,055-795-3216
2025 통영한산대첩축제,경상남도 통영시 세병로 27(문화동),2025-08-08,2025-08-14,https://tyhansancf.or.kr/,(재)통영한산대첩문화재단,055-650-0522
통영한산대첩축제,경상남도 통영시 세병로 27,2025-08-09,2025-08-14,https://tyhansancf.or.kr/,(재)통영한산대첩문화재단,055-646-1592
강릉문화재야행,강원특별자치도 강릉시 임영로131번길 6 (용강동),2025-08-14,2025-08-16,http://gncn.or.kr/web2021/main.php,강릉문화원,033-823-3225
태화강 대숲 납량축제,울산광역시 중구 샛강남길 5,2025-08-14,2025-08-17,http://www.ulsantheatre.or.kr/,(사)한국연극협회 울산광역시지회,052-226-7081
제25회 복사골청소년예술제,경기도 부천시 소사구 경인로92번길33,2025-08-23,2025-08-23,artbucheon.com,(사)한국예총부천지회,032-325-1566
대구 문화유산 야행,대구광역시 중구 국채보상로139길 1(동인동2가),2025-08-29,2025-08-30,https://www.jung.daegu.kr/new/pages/main/,대구광역시 중구,053-661-2000
2025 헤이리 판 페스티벌,경기도 파주시 탄현면 헤이리마을길 70-21,2025-09-06,2025-09-14,http://tour.paju.go.kr,헤이리 문화예술위원회,031-940-4722
무주반딧불축제,전북특별자치도 무주군 무주읍 최북로 15,2025-09-06,2025-09-14,https://www.firefly.or.kr/,(사)무주반딧불축제제전위원회,063-324-2440
영동난계국악축제,충청북도 영동군 영동읍 영동힐링로 117,2025-09-12,2025-10-11,http://www.ydnan-gye.co.kr/,(재)영동축제관광재단+(사)난계기념사업회,043-745-8917
장수 한우랑 사과랑 축제,전북특별자치도 장수군 장수읍 한누리로 393,2025-09-18,2025-09-21,https://www.jangsufestival.com/,사)장수한우랑사과랑축제추진위원회,063-350-2355
제17회 DMZ국제다큐멘터리 영화제,경기도 파주시 문산읍 임진각로 177,2025-09-18,2025-09-24,https://dmzdocs.com/,사단법인 DMZ국제다큐멘터리영화제,031-940-4723
장수 한우랑 사과랑 축제,전북특별자치도 장수군 장수읍 한누리로 393,2025-09-18,2025-09-21,http://www.jangsufestival.com,사)장수한우랑사과랑축제추진위원회,063-350-2356
금산세계인삼축제,충청남도 금산군 금산읍 인삼광장로 30,2025-09-19,2025-09-28,http://www.insamfestival.co.kr/html/kr/sub2/sub2_020101.html,금산축제관광재단,041-750-2302
제17회 시민어울림한마당,경기도 부천시 소사구 경인로92번길33,2025-09-20,2025-09-20,artbucheon.com,(사)한국예총부천지회,032-325-1566
2025 대학로 소나무길 거리예술제,"서울특별시 종로구 종로1길 36, 8층 문화과",2025-09-20,2025-09-21,www.jongno.go.kr,서울특별시 종로구,02-2148-1813
두근두근페스티벌,대구광역시 달서구 월곡로 5,2025-09-20,2025-09-20,https://www.dalseo.daegu.kr,대구광역시 달서구청,053-667-3791
천안흥타령춤축제,충청남도 천안시 서북구 번영로 208,2025-09-24,2025-09-28,https://cheonanfestival.com/ko/,(재)천안문화재단,041-900-7020
부천국제만화축제,경기도 부천시 원미구 길주로1,2025-09-25,2025-09-28,https://www.bicof.com,(재)한국만화영상진흥원,032-310-3071
울산고래축제,울산광역시 남구 장생포고래로 244,2025-09-25,2025-09-28,http://www.ulsanwhale.com/index.jsp,울산광역시 남구청,052-226-1992
울산고래축제,울산광역시 남구 장생포고래로 244,2025-09-25,2025-09-28,http://www.ulsanwhale.com,고래문화재단,052-226-1999
동해 무릉제,강원특별자치도 동해시 덕골길 10,2025-09-25,2025-09-28,http://dhfesta.or.kr/dmrf/,동해문화관광재단,033-530-2412
정선아리랑제,강원특별자치도 정선군 정선읍 애산로 51,2025-09-25,2025-09-28,http://arirangfestival.kr,정선아리랑문화재단,033-560-3013
양산삽량문화축전,경상남도 양산시 중앙로 39-1,2025-09-26,2025-09-28,https://yangsanfes.com/,양산삽량문화축전추진위원회,055-392-2547
서산해미읍성축제,충청남도 서산시 해미면 남문2로 143,2025-09-26,2025-09-28,https://www.seosan.go.kr/tour/index.do,(재)서산문화재단,041-660-2696
부산국제록페스티벌,부산광역시 사상구 낙동대로 1231,2025-09-26,2025-09-28,https://busanrockfestival.com/,부산문화관광축제조직위원회,051-713-5000
울산울주세계산악영화제,울산광역시 울주군 상북면 알프스온천5길 103-8,2025-09-26,2025-09-30,https://www.umff.kr/,울주세계산악영화제,052-248-6450
소래포구 축제,인천광역시 남동구 장도로 86-17,2025-09-26,2025-09-28,www.namdong.go.kr/soraefestival,남동문화재단,032-453-2142
부평풍물대축제,인천광역시 부평구 부평대로 60,2025-09-26,2025-09-28,https://portal.icbp.go.kr/bpf/,부평구축제위원회+ 부평구문화재단+ 부평문화원,032-509-7516
대구포크페스티벌,대구광역시 중구 공평로 88,2025-09-26,2025-09-28,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
제22회 대구국제오페라축제,대구광역시 중구 공평로 88,2025-09-26,2025-11-08,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
수성못페스티벌,대구광역시 수성구 달구벌대로 2450,2025-09-26,2025-09-28,https://www.suseong.kr/,대구광역시 수성구,053-666-2000
2025 고양호수예술축제,경기도 고양시 일산동구 호수로 595,2025-09-26,2025-09-28,http://www.gylaf.kr,고양문화재단,031-960-9685
대구콘텐츠페어,대구광역시 중구 공평로 88,2025-09-26,2025-09-27,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
대전효문화뿌리축제,대전광역시 중구 뿌리공원로 47,2025-09-26,2025-09-28,https://www.djjunggu.go.kr/hyo-ppuri/index.do,대전효문화뿌리축제추진위원회,042-606-6290
아스타축제,전라남도 신안군 안좌면 소곡두리길 257-35,2025-09-26,2025-10-12,https://tour.shinan.go.kr/,축제추진위원회,061-240-8129
나루터 영화제,서울특별시 동작구 노량진로 134,2025-09-27,2025-09-27,www.dongjak.go.kr,서울특별시 동작구청 문화정책과,02-820-9657
미추홀미디어문화축제,인천광역시 미추홀구 매소홀로 618,2025-09-27,2025-09-28,https://www.michuhol.go.kr/culture/main.do,인천광역시 미추홀구청,032-880-7978
용마폭포문화예술축제,서울특별시 중랑구 용마산로 250-12,2025-09-27,2025-09-27,https://www.jnfac.or.kr/contents/1335,중랑문화재단,02-3407-6532
수원화성문화제,경기도 수원시 팔달구 정조로825(남창동),2025-09-27,2025-10-04,https://www.swcf.or.kr/hlfl/,경기도 수원시+수원화성문화제 추진위원회+수원문화재단,031-228-3920
2025 수원화성 미디어아트,경기도 수원시 팔달구 정조로 825,2025-09-27,2025-10-12,https://www.swcf.or.kr/hlfl/,(재)수원문화재단,031-228-3084
정조효문화제 및 정조대왕능행차 공동재현,경기도 화성시 장조1로 34,2025-09-27,2025-09-28,http://www.정조효문화제.com/,화성시문화관광재단,031-5189-6654
제62회 수원화성문화제,경기도 수원시 팔달구 정조로 825,2025-09-27,2024-10-06,https://www.swcf.or.kr/hlfl/,경기도 수원시+(재)수원문화재단,031-228-3068
2025 금호강 바람소리길 축제,대구광역시 북구 옥산로 65,2025-09-27,2025-09-28,https://www.buk.daegu.kr/,대구광역시 북구,053-665-2000
동작댄스데이,서울특별시 동작구 성대로25가길 8,2025-09-28,2025-09-28,www.idfac.or.kr/,동작문화재단,02-820-9657
2025 정조대왕 능행차 공동재현,경기도 수원시 팔달구 정조로 825,2025-09-28,2025-09-28,https://www.swcf.or.kr/hlfl/,경기도 수원시+(재)수원문화재단,031-228-2454
제17회 강릉 커피축제,강원특별자치도 강릉시 수리골길 100,2025-10-01,2025-10-01,https://www.coffeefestival.net/,강릉문화재단,033-647-6802
2025 문화유산야행,경상북도 예천군 용문면 금당실길 52-16,2025-10-01,2025-10-02,yctf.kr,(재)예천문화관광재단,054-650-6031
중랑 북페스티벌,서울특별시 중랑구 봉화산로 179,2025-10-01,2025-10-01,https://www.jungnang.go.kr/portal/main.do,서울특별시 중랑구청,02-2094-1834
팔공산 산중전통장터 승시 축제,대구광역시 중구 공평로 88,2025-10-01,2025-10-03,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
산청한방약초축제,경상남도 산청군 금서면 동의보감로555번길 61,2025-10-02,2025-10-12,http://scherb.or.kr/,재단법인 산청축제관광재단,055-970-6670
제2회 파주페어_북앤컬처,경기도 파주시 회동길 145,2025-10-03,2025-10-05,https://pajufair.com/,(재)출판도시문화재단,031-940-4721
진주 남강유등축제,경상남도 진주시 강남로 287,2025-10-03,2025-10-19,http://www.yudeung.com,진주남강유등축제제전위원회,055-761-9111
2025 웰컴대학로,"서울특별시 종로구 대학로 120, 대학로 일대",2025-10-04,2025-11-08,https://korean.visitkorea.or.kr/,한국관광공사,033-738-3000
진주남강유등축제,경상남도 진주시 남강로 626,2025-10-04,2025-10-19,http://www.yudeung.com,진주남강유등축제 제전위원회,055-755-9111
2025 삼강주막나루터축제,경상북도 예천군 풍양면 삼강리길 33,2025-10-04,2025-10-06,yctf.kr,(재)예천문화관광재단,054-650-6031
임실N치즈축제,전북특별자치도 임실군 성수면 도인2길 50,2025-10-08,2025-10-12,www.imsilfestival.com,임실N치즈축제 제전위원회,063-643-3900
임실N치즈축제,전북특별자치도 임실군 성수면 도인2길 50,2025-10-08,2025-10-12,www.imsilfestival.com,(재)임실N치즈축제 제전위원회,063-643-3900
세종축제,세종특별자치시 호수공원길 155,2025-10-09,2025-10-11,http://sjfestival.kr/,(재)세종시문화관광재단,044-850-0592
안성맞춤 남사당 바우덕이 축제,경기도 안성시 보개면 남사당로 198,2025-10-09,2025-10-12,https://www.anseong.go.kr/tourPortal/baudeogi/main.do,안성맞춤남사당바우덕이축제위원회,031-678-2511
2025 대전 서구 아트페스티벌,대전광역시 서구 둔산서로 100,2025-10-10,2025-10-12,https://www.seogu.go.kr/prog/fstvl/tour/sub04_02/14/view.do,서구축제추진위원회+대전광역시서구문화원+한국예총대전광역시연합회+한국미술협회 대전광역시지회,042-288-2742
개천예술제,경상남도 진주시 남강로 626,2025-10-10,2025-10-19,http://www.gaecheonart.com,개천예술제 제전위원회,055-752-0111
월드오케스트라페스티벌,대구광역시 중구 공평로 88,2025-10-10,2025-11-27,https://www.daegu.go.kr/index.do,대구광역시청,053-803-0114
관악강감찬축제,서울특별시 관악구 낙성대로 77,2025-10-10,2025-10-12,https://ggcfest.com/,관악문화재단,02-828-5765
희망달서 대축제,대구광역시 달서구 학산로 45,2025-10-11,2025-10-12,https://www.dalseo.daegu.kr/,대구광역시 달서구,053-667-2000
울산공업축제,울산광역시 남구 신정로116번길 30,2025-10-16,2025-10-19,http://www.울산공업축제.kr,울산공업축제추진위원회,052-259-2728
삼화사국행수륙대재,강원특별자치도 동해시 삼화로 584,2025-10-17,2025-10-19,http://samhwasa.or.kr,대한불교 조계종 삼화사,033-530-2461
영천보현산별빛축제,경상북도 영천시 화북면 별빛로 681-32,2025-10-17,2025-10-19,http://영천보현산별빛축제.com,영천보현산별빛축제위원회,054-330-6702
제18회 마포나루 새우젓축제,서울특별시 마포구 월드컵로 243-60(성산동),2025-10-17,2025-10-19,https://www.mapo.go.kr/site/maponarusf/content/mss240101,마포문화원,02-3153-8353
2025년 국제꽃장식대회,전라남도 신안군 압해읍 무지개길 330,2025-10-17,2025-10-18,https://tour.shinan.go.kr/,축제추진위원회,061-240-5402
여주오곡나루축제,경기도 여주시 신륵사길 7,2025-10-17,2025-10-19,https://www.yjcf.or.kr,여주세종문화관광재단,031-881-9692
순창장류축제,전북특별자치도 순창군 순창읍 민속마을길 6-3,2025-10-17,2025-10-19,http://www.jangfestival.co.kr,순창장류축제추진위원회,063-650-1624
황룡강 가을꽃축제,전라남도 장성군 장성읍 황룡강동쪽자전거길 732,2025-10-18,2025-10-26,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_04,전라남도 장성군축제위원회,061-390-7252
김광석길페스티벌,대구광역시 중구 국채보상로139길 1(동인동3가),2025-10-19,2025-10-20,https://www.jung.daegu.kr/new/pages/main/,대구광역시 중구,053-661-2000
강릉커피축제,강원특별자치도 강릉시 창해로14번길 20-1 (견소동),2025-10-23,2025-10-26,http://www.coffeefestival.net,강릉문화재단,033-647-6802
곡성심청어린이대축제,전라남도 곡성군 오곡면 기차마을로 233,2025-10-23,2025-10-26,www.gokseong.go.kr,전라남도 곡성군청,061-360-8471
섬 불볼락축제,전라남도 신안군 흑산면 홍도1길 21-5,2025-10-24,2025-10-25,https://tour.shinan.go.kr/,축제추진위원회,061-240-8410
